Room,Desk_Number,Serials_File1,Serials_File2
,2001,"V305WA9F, V307R85F",
,2002,V306V7RK,
,2003,"V306V6C0, V90C0NB6",
,2004,"V306V6TX, V90C0FDH",
,2005,"V307R76N, V90C0FNB",
,2006,"V306V6TL, V306V7LK",
,2007,"V306V6C9, V90CC011",
,2008,V307PVVT,
,2009,"V306V6CG, V90C0FGE",
,2010,V306V6D2,
,2011,"V306V6CB, V90C0FK7",
,2012,"V306V7X2, V90C0FN7",
,2013,"V307PYY6, V90CC0BD",
,2014,"V306V6C7, V90C0F3P",
,2015,V307R85B,
,2016,"V306V6H7, V90C0FHF",
,2017,V307R77P,
,2018,V306V6C8,
,2019,"V306V6CP, V90C0NC8",
,2020,V306V6A2,
,2021,V306V6TM,
,2022,"V307R85G, V90C0FD9",
,2023,"V306V6TR, V90C0NAW",
,2024,"V306V6C3, V90C0FN6",
,2025,V306V6V0,
,2026,V306V6TW,
,2028,"V306V6D0, V306V6TP",
,2029,V306V68K,
,2030,V306V6AH,
,2031,V307R85H,
,2032,V306V6CD,
,2033,V307R77V,
,2034,V307R858,
,2035,V306V6TY,
,2036,V307R85T,
,2037,V307R85M,
,2038,"V306V68T, V307PYB0",
,2039,V307PX3Y,
,2040,"V3066GNG, VTK61038",
,2041,V305FCDD,
,2042,V306V6B0,
,2043,V307R6Y5,
,2044,"V307PXMW, V308ZB2R",
,2045,V3066FPD,
,2046,"V30A8XCT, V90DFPY2",
,2047,V30A8XC5,
,2048,"V305PWXB, V308ZB76",
,2049,V307PW97,
,2050,"V305MNKW, V307PX7Y",
,2051,"V305N1F2, V30A8XC6",
,2052,V305VCDX,
,2053,V304C0C5,
,2054,V3052P0T,
,2055,V304C0CA,
,2057,V303WNGT,
,2059,V304C0C9,
,2060,"V307R76A, V30A8XCC",
,2061,V307PVWB,
,2062,"V305MNLP, V30A8XCK",
,2063,"V3066GMX, V308ZA5L",
,2064,"V307R74V, V308C10C",
,2065,"V3066GN1, V308ZB6W",
,2066,"V307R76G, V308ZB3H",
,2067,"V307PWF9, V308ZB91",
,2068,"V307R751, V308ZB79",
,2069,"V307R6XY, V307R781",
,2070,"V307R788, V307R83M",
,2071,"V306V6BH, V307PZ0A",
,2072,"V306V6CK, V307R7C6",
,2073,"V307R76K, V307R85P",
,2074,"V306V6CW, V307R85A",
,2075,"V307PXV4, V307R859",
,2076,"V306V7W6, V90C0FB6",
,2077,V90C0FMT,
,2078,"V306V7X0, V90C0FDA",
,2079,"V305MNL8, V306V7XD",
,2080,"V305WAAP, V90C0FNA",
,2081,"V306V7RT, V90C0FK1",
,2082,"V306V7WH, V90C0FK3",
,2083,"V306V6CX, V307PX8V",
,2084,"V306V7W5, V90C0FK4",
,2085,"V306V7WR, V30A8XC2",
,2086,"V306V7HD, V90C0FK9",
,2087,"V307PYN8, V90C0FN9",
,2088,V90C0FK2,
,2089,"V306V7W8, V306V7WP",
,2090,"V305PWXN, V90C0FN4",
,2091,"V307PYA4, V90CC0BE",
,2092,"V306V7WW, V90C0FKN",
,2093,"V305FCCW, V90C0FHY",
,2094,"V305WA9B, V90C0FN3",
,2095,"V306V6X5, V90C0FE3",
,2096,"V305MNKY, V307R6XR",
,2097,"V30AR3Y7, V30AR3YG",
,2098,"V307R6Y1, V90C0FD5",
,2099,"V306V7XC, V307R6XN",
,2101,"V307PX84, V90C0FK8","0C0FK8, V307PX84"
,2102,"V307PVW1, V90C0FN1","0C0FN1, V307PVW1"
,2103,"V307PYV6, V90C0FDG","0C0FDG, V307PYV6"
,2104,"V306V6AN, V90C0FHZ","0C0FHZ, V306V6AN"
,2105,"V305WAAT, V90C0NB0","0C0NB0, V305WAAT"
,2106,"V305WA8W, V307R75W",
,2107,"V305FCCZ, V90C0FN2","0C0FN2, V305FCCZ"
,2110,"V305MNKM, V90C0F37","0C0F37, V305MNKM"
,2111,"V305WA9P, V90C0FHT","0C0FHT, V305WA9P"
,2112,"V306V7W7, V90C0FDM","0C0FDM, V306V7W7"
,2113,"V307R76L, V90C0FDC","0C0FDC, V307R76L"
,2115,"V305PWVY, V90C0FDB","0C0FDB, V305PWVY"
